artist_name	track_name	release_date	genre	lyrics	topic
loving	the not real lake	2016	rock	awake know go see time clear world mirror world mirror magic hour confuse power steal word unheard unheard certain forget bless angry weather head angry weather head angry weather head know gentle night mindless fight walk woods	dark
incubus	into the summer	2019	rock	shouldn summer pretty build spill ready overflow piss moan ash guess smite leave remember call forever shouldn summer summer like coil vine break crack wall fruit distil step line remember call forever shouldn summer remember call forever remember end blind shouldn summer shouldn summer shouldn summer summer remember call forever shouldn summer remember call forever remember end blind	lifestyle
reignwolf	hardcore	2016	blues	lose deep catch breath think say try break wall mama leave hardcore hardcore think brother say lock bedroom sister say throw away world stop hell think say try break wall think hardcore hardcore think time think like anymore try break wall think hardcore hardcore think say try break wall mama leave think hardcore hardcore think	sadness
tedeschi trucks band	anyhow	2016	blues	run bitter taste take rest feel anchor soul play game rule learn lessons get choose turn walk away walk away anytime anytime wake feel adrift piece miss realize push follow lose place deal wreckage soul turn walk away walk away anytime anytime care loan dime sorry cost time expect desperate flame turn walk away walk away anytime anytime anytime anytime anytime anytime anytime anytime anytime anytime	sadness
lukas nelson and promise of the real	if i started over	2017	blues	think think different set apart sober mind sympathetic hearts swear oath swear oath know life play play distance great height sure kill innocents build drop death longer human be longer people target screen real drop death tell send send chaplain say say say shut mouth sure kill innocents build drop death longer human be longer people target screen real drop death tell tell safe shoot dream justify resolve rise avenge innocent defend ones survive ask	dark
tia ray	just my luck	2018	jazz	yeah happen real drink drink turn shots lose count kind luck know friends house sound silly sound stupid sentence break word get fluid listen stop ahead fool past minutes yell phone middle beg kiss luck machine luck pick luck remember morning luck call luck go sleep luck remember morning sweet vodka purse beach know stand feet plus look thing like fake feel silly feel stupid sentence slur word confuse listen stop ahead ahead fool past minutes yell phone middle beg kiss luck machine luck pick luck remember morning luck call luck go sleep luck remember morning cause luck machine luck pick luck remember morning remember single thing morning baby luck call luck go sleep luck remember morning	emotion
rebelution	trap door	2018	reggae	 long long road occur look shortcut wanna cause scene wanna close okay outspoken look trap door sneak grind floor careful wish need answer head time solve problems scream perfect expect human look trap door sneak grind floor careful wish	dark
thank you scientist	the amateur arsonist's handbook	2016	jazz	quick think good true worst best things forever pessimist drag complicate feel fear tell reason nice slow tell tell reason reason yeah hell understand lose win hand burn walk away hand satisfy notion break justify evidence lose things pretend pardon earth search solid grind fear tell reason nice slow tell tell reason reason yeah hell understand lose win hand burn walk away hand hear word black white mean hear hear word black white mean hear say ohhh say leave gonna leave poison say say gonna leave poison say leave gonna leave poison ohhh ohhh ohhh hell hell understand lose win hand burn walk away hand ohhhhhhhhhhh ohhhhhhhhhh	dark
zayde wølf	gladiator	2018	rock	start climb face army vipers lions reach cause time tear kingdom liars jail heart pessimists nail mouth impressionists spend money therapist couldn accept gladiator gladiator gladiator pick fight gods giant slayer boneshaker dominator freight train wreck ball gladiator tell think believe catch crossfire trouble single feel gold underneath lock doors second catch breath cause heart jumpin chest know give cause see best time accept gladiator gladiator gladiator pick fight gods giant slayer boneshaker dominator freight train wreck ball gladiator reason fight reason fight shake hand devil night tell reason fight gladiator gladiator gladiator pick fight gods giant slayer bone shaker dominator freight train wreck ball gladiator gladiator gladiator pick fight gods giant slayer bone shaker dominator freight train wreck ball gladiator	dark
eli young band	never land	2017	country	word yeah wreck roll lips high good get bottle right right wanna feet cold hard floor kiss steal wanna steal right palm hand fall fall like land head heartbeat hit feel like gravity exist wanna stop know fall fall like land hang like dance stretch song long float like make memories night night wanna feet cold hard floor kiss steal wanna steal right palm hand fall fall like land head heartbeat hit feel like gravity exist wanna stop know fall fall like land fall like land stay get fly wanna feet cold hard floor kiss steal wanna steal right palm hand fall fall like land head heartbeat hit feel like gravity exist wanna stop know fall fall like land fall like land fall like land fall fall fall like land fall fall fall like land fall fall fall like land	sadness
klim	ninetofive	2018	jazz	nice place think sky separate nice surprise know life like bring life help gentle kiss good night innocence pray humble amaze beautiful little miracle life gift think live life live bring life help simple kiss good night innocence crave waste time cause pain life everyday yeah yeah light shine promise baby wanna leave light cross heart hand best friend promise light	personal
terror squad	rudeboy salute (feat. buju banton, big pun and fat joe)	2017	hip hop	grain sand weak blood stain try bottomless hourglass board piece pawn try reach eighth rank sacrifice kings queen field sorrow lose life stand right leave field sorrow grave wife stand right rest wild roses wasteland defy desert throw grave memories gentle nature long forget field sorrow lose life stand right leave field sorrow grave wife stand right rest field sorrow soil want blood tear field sorrow minutes feel like years remember little time kingdom dead field sorrow lose life stand right leave field sorrow grave wife stand right rest field sorrow soil want blood tear field sorrow minutes feel like years remember little time kingdom dead remember little time dead	dark
devin townsend project	truth	2016	jazz	warn money money money money hallelujah hallelujah yeah hello learn live fear peace beauty unfold change home	personal
vampire weekend	unbearably white	2019	rock	baby pull away unbearably buff mountain sight snow peak unbearably white city freeze elegant flow wind doorway unbearably cold walk bedroom write notebook unbearably white avalanche come cover eye think want surprise hard body hard mind learn keep darling lyric commercial	dark
khalid	winter	2017	pop	lose heart nighttime leave cold leave break weary drink lie tell fell morning get cold life lonely city paso days harder november grow colder winter things remember promise promise promise grow colder winter promise lose mind leave quick reject time fell hard admit feel wasn mutual live lonely city paso days harder november grow colder winter things remember promise promise promise grow colder winter promise promise promise promise promise promise promise promise promise promise promise promise promise promise promise promise promise promise promise promise promise days harder november grow colder winter things remember promise promise promise grow colder winter promise	personal
rend collective	counting every blessing	2018	rock	blind see colour dead live forever fail redeemer bless measure lose father change ruin treasure give future bless measure count bless count bless let trust count bless count bless surely season good oooh good oooh good valley shadow depth sorrow lyric commercial	personal
post malone	spoil my night (feat. swae lee)	2018	pop	come spoil night feelin come play thinkin happen time spoil night spoil night spoil night night spoil night spoil night necklace natural glow dancin strobe  spoil night spoil night spend cash lose toxic take robe yeah couldn drop plenty money thighs plenty room ride like small take life spoil night spoil night spoil night night spoil night spoil night come spoil night spoil night feelin come play thinkin happen time yeah walk party like know spot mama wall jabronis point bring bring face beautiful boobies diamonds teeth teeth smilin think like jumanji jumanji time postmate plan whippin phone know know  videos post everybody gram gonna know girl home line blow yeah know doin right need spoil night need need spoil night spoil night spoil night night spoil night spoil night come spoil night spoil night feelin come play thinkin happen time yeah spoil night spoil night spoil night spoil night spoil night spoil night	lifestyle
albert hammond, jr.	rocky's late night	2018	blues	darker longer right fear tonight decide everybody feel alright mistake tonight leave companion enjoy polite leave strand confront right emptiness wasn take doubletime perfection break leave rearrange pretty tell  inside think round drink question blank watch begin sentence emptiness take doubletime lack perfection break leave rearrange	sadness
